title,abstract,authors,journal,year,doi,openalex_id,source_db,alignment_score,alignment_level,matched_core_terms,matched_title_core_terms,matched_availability_terms,matched_title_availability_terms,matched_themes,theme_count,project_driver_theme_count,availability_driver_theme_count,skip_terms
CLIMATE CHANGE AND FOOD SECURITY,"Climate change is one of the most pressing challenges facing humanity in the Anthropocene era. It is widely admitted that climate change will have farreaching impacts including on food security. Therefore, this review paper analyses the multifaceted relations between climate change and food security. In particular, the paper explores the impacts of climate change on the four dimensions of food security (i.e. food availability, food access, food utilization, stability). It draws upon a review of scholarly literature indexed in the Web of Science. The analysis of the literature shows that there is a dual relationship between climate change and food security; on the one hand, climate change affects all the dimensions of food security and, on the other hand, the quest for food security has implications in terms of climate change. As for food availability and supply, climate change is widely believed to reduce crop yields and livestock productivity especially in the countries of the Global South. Effects on food production and availability as well as the impacts of extreme climate events affect both food physical and economic accessibility. The changes in production systems induced by climate change may induce changes in dietary patterns and food utilization. Climate change will also affect the stability and resilience of food systems with consequences in terms of long-term food security. Moreover, the quest for food security, through agricultural intensification and agricultural land expansion, increases greenhouse gas emissions from deforestation and land use changes. The intricate relation between climate change and food security makes the case for integrated policies that maximise co-benefits while addressing trade-offs. That is fundamental to make sure that 'climate action' will not jeopardize the achievement of 'zero hunger' and vice-versa.",Hamid El Bilali; Imaël Henri Nestor Bassolé; Lawali Dambo,The Journal Agriculture and Forestry,2020,10.17707/agricultforest.66.3.16,https://openalex.org/W3138940549,OpenAlex,25,strict,food access; food availability; food security; hunger,food security,food availability; food production,,climate_environment; production_yield_cereals,2,1,1,
FAO and the Situation of Food Security and Nutrition in the World,"New evidence shows that the number of hungry people in the world is growing, reaching more than 820 million in 2018 (one in every nine people), up from 812 million in 2017. There are three main causes of food insecurity: high exposure and vulnerability to climate extremes, conflicts, and economic slowdown. Paradoxically, every year, roughly one third of the food produced in the world for human consumption-approximately 1.3 billion tonnes-is lost or wasted. It is estimated that, if the food lost or wasted globally could be reduced by just one quarter, this would be sufficient to feed the people suffering from chronic hunger in the world. Rice, an important staple food for over half the world's population, is also affected. At the same time, evidence shows that the food lost or wasted is a major cause of greenhouse gas emission, which itself feeds into climate change and extreme weather, resulting in further food insecurity and malnutrition. This paper briefly introduces the Food and Agriculture Organization of the United Nations (FAO), presents the recent findings on the current situation of food security and nutrition in the world, and highlights the issue of food loss and waste and its impact on food security, with particular emphasis on the constraints it poses to the achievement of key Sustainable Development Goals (SDGs).",Mbuli Charles Boliko,Journal of Nutritional Science and Vitaminology,2019,10.3177/jnsv.65.s4,https://openalex.org/W2981130849,OpenAlex,25,strict,food insecurity; food security; hunger; malnutrition,food security,food loss,,climate_environment; post_harvest_loss; production_yield_cereals,3,2,2,
The ripple effects of climate change on agricultural sustainability and food security in Africa,"Abstract Climate change results in lower agricultural outputs, disruption of food supply chains, and widening of the social gap between poor and rich in developing countries, with more vulnerable groups being pushed into untold poverty. This review aims to investigate the consequences of climate change on food insecurity in Africa in the context of environmental degradation. This review emphasizes the complexity of demands on food security systems due to changing climatic conditions under the four pillars (availability, accessibility, utilization, and stability). This review demonstrated the susceptibility of farm production to changes in temperature, precipitation, and weather patterns generated by climate change. In addition, this review investigated the factors shaping food insecurity, such as increasing population growth, poverty, inadequate early warning systems, and weak agricultural infrastructure. Furthermore, the review points out how climate change affects food prices and availability and the widening income gap, potentially leading to social unrest and political instability in Africa. Vulnerable populations, including impoverished, elderly, and physically challenged individuals, are at increased risk due to climate‐related health impacts. Women who face gender inequalities and socioeconomic limitations are particularly susceptible. We posit that there is a need for comprehensive strategies that address health disparities and consider vulnerable subgroups within society alongside broader measures to enhance food security in the face of climate change.",Helen Onyeaka; Uju Mary Nwauzoma; Adenike A. Akinsemolu,Food and Energy Security,2024,10.1002/fes3.567,https://openalex.org/W4403108971,OpenAlex,24,strict,food insecurity; food security; food supply,food security,food supply,,climate_environment; gender_poverty_inclusion,2,1,0,
"Impact of irrigation technology use on crop yield, crop income and household food security in Nigeria: A treatment effect approach","Using household survey data from a sample of about 2305 households selected from eighteen states in Nigeria, this paper analyses the impact of irrigation technology usage on crop yield, crop income and household food security in Nigeria among smallholder farmers. The logistic regression estimate revealed that years of education, household size, rainfall information, access to credit, regional dummies are the main drivers of usage decision. The results of the linear regression with endogenous treatment effects showed that irrigation technology use is positively related to crop yield, crop income and household food security. In consistence, the impact analysis using propensity score matching (PSM) also showed a significant and positive effect of irrigation technology use on crop yield, crop income and household food security. We suggest to policy makers, implementers, and any funding agencies with similar interest to further capitalize and scale up the irrigation technology facilities, especially for the poor households, and create more awareness to improve the livelihood of rural households. However, despite the positive impact of irrigation technology use, we contend that other sustainable irrigation sources, such as rainwater harvesting should be used due to possible environmental impact in the excessive use of irrigation technology. Moreover, rained agriculture can be improved with other farming techniques such as agroforestry and soil and water conservation practices.",Ogunniyi Adebayo; Omonona Bolarin; Abioye Oyewale,AIMS Agriculture and Food,2018,10.3934/agrfood.2018.2.154,https://openalex.org/W2810893712,OpenAlex,24,strict,food security,food security,crop yield,crop yield,climate_environment; empirical_methods; governance_institutions; production_yield_cereals; smallholder_agriculture,5,3,1,
Household food security in the face of climate change in the Hindu-Kush Himalayan region,"This study attempts to understand local people’s perceptions of climate change, its impacts on agriculture and household food security, and local adaptation strategies in the Hindu-Kush Himalayan (HKH) region, using data from 8083 households (HHs) from four river sub-basins (SBs), i.e. Upper Indus (Pakistan), Eastern Brahmaputra (India), Koshi (Nepal) and Salween and Mekong (China). The majority of households in SBs, in recent years, have perceived that there have been more frequent incidences of floods, landslides, droughts, livestock diseases and crop pests, and have attributed these to climate change. These changes have led to low agricultural production and income, particularly in Eastern Brahmaputra (EB) where a substantial proportion of HHs reported a decline in the production of almost all staple and cash crops, resulting in very low farm income. Consequently, households’ dependency on external food items supplied from plain areas has increased, particularly in the Upper Indus (UI) and EB. After hazards, households face transitory food insecurity owing to damage to their local food systems and livelihood sources, and constrained food supply from other areas. To cope with these, HHs in SBs make changes in their farming practices and livestock management. In EB, 11 % of HHs took on new off-farm activities within the SB and in SM, 23 % of HHs chose out-migration as an adaptation strategy. Lastly, the study proposes policy instruments for attaining sustainable food security, based on agro-ecological potential and opportunities for increasing agricultural resilience and diversity of livelihoods.",Abid Hussain; Golam Rasul; Bidhubhusan Mahapatra,Food Security,2016,10.1007/s12571-016-0607-5,https://openalex.org/W2527216798,OpenAlex,24,strict,food insecurity; food security; food supply,food security,agricultural production; food supply,,climate_environment; governance_institutions,2,2,0,
Post-harvest food losses in a maize-based farming system of semi-arid savannah area of Tanzania,"An assessment of post-harvest handling practices and food losses in a maize-based farming system in semi-arid areas of Central and Northern Tanzania was carried out in 2012. Seventeen crops were mostly cultivated by the farmers in the surveyed areas; maize (32%), sunflower (16%) and pigeon peas (12%) were the most cultivated while maize was the most stored. There are at least 7 months between two harvest seasons of each crop; while farmers sold the crops soon after harvest to cater for household expenditure (54%) and school fees (38%), the market prices increased significantly (P ≤ 0.05) within six months of storage. Most processing activities (winnowing, dehulling, drying, sorting and shelling) were carried out manually, almost entirely by women, but mechanized processing for maize, sunflower, millet, and sorghum were commonly practiced. Quantitative post-harvest losses of economic importance occur in the field (15%); during processing (13–20%), and during storage (15–25%). The main storage pests responsible for the losses are larger grain borers (Prostephanus truncatus), grain weevils (Sitophilus granarius) and, the lesser grain borer (Rhyzopertha dominica). Most of the farmers considered changes in weather (40%), field damage (33%), and storage pests (16%) as the three most important factors causing poor crop yields and aggravating food losses. However, survey results suggest that the farmers' poor knowledge and skills on post-harvest management are largely responsible for the food losses. 77% of the surveyed farmers reported inadequate household foods and 41% received food aid during the previous year. Increasing farmers' technical know-how on adaptation of the farming systems to climate variability, and training on post-harvest management could reduce food losses, and improve poverty and household food security.",Adebayo Abass; G.T. Ndunguru; Peter Mamiro,Journal of Stored Products Research,2013,10.1016/j.jspr.2013.12.004,https://openalex.org/W2150960678,OpenAlex,24,strict,food security,,food losses; post-harvest losses,food losses,climate_environment; empirical_methods; gender_poverty_inclusion; post_harvest_loss; production_yield_cereals; smallholder_agriculture,6,3,2,
Effect of Trade Openness on Food Security in the EU: A Dynamic Panel Analysis,"The problem of food insecurity is growing across the world, including economically developed countries. In Europe, the question is not just about the total supply of foods, but it includes even the accessibility of prices and their nutritional and qualitative adequacy. In this context many countries recognize the importance of trade policies to ensure adequate levels of food security. The aim of this work was to analyze the impact of trade openness on the level of food security in European countries, using a dynamic panel analysis with the generalized method of moments (GMM) approach. We selected two different indicators of food security (average protein supply, average dietary energy supply adequacy) capable of offering information both on the quantity and on the nutritional quality of the food supply. In order to improve the robustness of the empirical results, we developed three different regressions, with three trade openness indicators (trade openness, tariff, globalization) for each food security indicator. The results showed that commercial opening has, on average, a statistically significant net positive impact on the food security of European countries. Additional results indicate that also economic development, together with the importance of the agricultural sector, can improve food security levels.",Giulio Fusco; Benedetta Coluccia; Federica De Leo,International Journal of Environmental Research and Public Health,2020,10.3390/ijerph17124311,https://openalex.org/W3035742365,OpenAlex,23,strict,dietary energy supply; food insecurity; food security; food supply,food security,dietary energy supply; food supply,,,0,0,0,
Improving policy coherence for food security and nutrition in South Africa: a qualitative policy analysis,"Like most other low and middle-income countries, South Africa must address a rising burden of diet-related chronic disease in a situation of persistent food insecurity and undernutrition. Supply-side policy interventions are a critical component of action to address the double burden of malnutrition. However, the food supply is governed by a number of different policy sectors, and policy incoherence can occur between government action to promote a healthy food supply and objectives for economic liberalization. We analysed the coherence of food supply policy content with respect to nutrition and food security in South Africa, and conducted 14 in-depth interviews with 22 public and private sector actors to identify opportunities to improve policy coherence across sectors governing the food supply. Drawing on Sabatier’s conceptualization of actors as influential in shaping policy outcomes, we identified three coalitions of actors related to food security and nutrition in South Africa: the dominant Economic Growth coalition, the Food Security coalition, and the Health coalition. Understanding the frames, beliefs and resources held by these coalitions offers insights into the policy tensions faced by the Government of South Africa with respect to the food supply. The analysis indicates that the current reconsideration of economic policy agendas favouring liberalization in South Africa, including the termination of most bilateral investment treaties, may present an opportunity for increased recognition of food security and nutrition priorities in food supply policy making. Opportunities to strengthen policy coherence across the food supply for food security and nutrition include: specific changes to economic policy relating to the food supply that achieve both food security/nutrition and economic objectives; creating links between producers and consumers, through markets and fiscal incentives that make healthy / fresh foods more accessible and affordable; increasing formal avenues for engagement by Civil Society in nutrition and food security policy making; and including consideration of the nutritional quality of the food supply in policy objectives across sectors, to create a framework for policy coherence across sectors relating to the food supply.",Anne Marie Thow; Stephen Greenberg; Mafaniso Hara,Food Security,2018,10.1007/s12571-018-0813-4,https://openalex.org/W2811437310,OpenAlex,23,strict,food insecurity; food security; food supply; malnutrition,food security,food supply,,governance_institutions,1,1,0,
Adaptation Strategies to Climate Change and Impacts on Household Income and Food Security: Evidence from Sahelian Region of Niger,"Sahelian countries, particularly Niger, are more vulnerable to climate change due to the high dependence of most of their populations on rain-fed agriculture and limited capacities to respond to climate variability and change. This paper examines the factors influencing climate change adaptation strategies and the impacts on household income and food security in rural Niger. For this purpose, we collected data from 1783 valid rural households in four main agricultural regions of Niger. The results showed that crop diversification (72.74%), income diversification (67.97%) and changing planting times (55%) are the main adaptation strategies adopted by households. The majority of respondents had noticed changes in rain patterns (93.21%), in the amount of rain (91.25%) and in the intensity of rain (81.82%) during the last five years. We categorized these adaptation strategies into six major groups namely climate-resilient crop varieties, improved agronomic practices, irrigation and water conservation practices, crop diversification, income diversification, and agroforestry. We ran logit regression to identify the determinants of each individual group. The results show mixed effects of independent variables on these categories of adaptation strategies. Using matching techniques, we found adaptation strategies have positive and significant impact on both household income and food security. The farmers who adopt climate change adaptation strategies are more likely to increase household income by 7721.526 FCFA compared to those households with zero adaptation strategies. Similarly, the adapters have 7% to 9% more chance to be food secure compared to those who did not adopt strategies. These results suggest that strengthening the awareness of the effects of climate change on farmers and the choice of appropriate adaptation strategies are necessary to enhance household resilience. Strengthening institutional factors such as access to credit and market, extension services, and using drought-resilient crop varieties would surely improve agricultural production.",Seydou Zakari; Germaine Ibro; Bokar Moussa,Sustainability,2022,10.3390/su14052847,https://openalex.org/W4214853213,OpenAlex,22,strict,food security,food security,agricultural production,,climate_environment; empirical_methods; governance_institutions; production_yield_cereals; smallholder_agriculture,5,3,1,
The Impact of Climate Variability and Change on Food Security in Sub-Saharan Africa: Perspective from Panel Data Analysis,"This study investigates the relationship between climate variables such as rainfall amount, temperature, and carbon dioxide (CO2) emission and the triple dimension of food security (availability, accessibility, and utilization) in a panel of 25 sub-Saharan African countries from 1985 to 2018. After testing for cross-sectional dependence, unit root and cointegration, the study estimated the pool mean group (PMG) panel autoregressive distributed lag (ARDL). The empirical outcome revealed that rainfall had a significantly positive effect on food availability, accessibility, and utilization in the long run. In contrast, temperature was harmful to food availability and accessibility and had no impact on food utilization. Lastly, CO2 emission positively impacted food availability and accessibility but did not affect food utilization. The study took a step further by integrating some additional variables and performed the panel fully modified ordinary least squares (FMOLS) and dynamic ordinary least squares (DOLS) regression to ensure the robustness of the preceding PMG results. The control variables yielded meaningful results in most cases, so did the FMOLS and DOLS regression. The Granger causality test was conducted to determine the causal link, if any, among the variables. There was evidence of a short-run causal relationship between food availability and CO2 emission. Food accessibility exhibited a causal association with temperature, whereas food utilization was strongly connected with temperature. CO2 emission was linked to rainfall. Lastly, a bidirectional causal link was found between rainfall and temperature. Recommendations to the national, sub-regional, and regional policymakers are addressed and discussed.",Raïfatou Affoh; Haixia Zheng; Kokou Dangui,Sustainability,2022,10.3390/su14020759,https://openalex.org/W4206148239,OpenAlex,22,strict,food availability; food security,food security,food availability,,climate_environment; empirical_methods,2,1,0,
Reducing greenhouse gas emissions in agriculture without compromising food security?,"To keep global warming possibly below 1.5 ᵒC and mitigate adverse effects of climate change, agriculture, like all other sectors, will have to contribute to efforts in achieving net negative emissions by the end of the century. Cost-efficient distribution of mitigation across regions and economic sectors is typically calculated using a global uniform carbon price in climate stabilization scenarios. However, in reality such a carbon price would substantially affect food availability. Here, we assess the implications of climate change mitigation in the land use sector for agricultural production and food security using an integrated partial equilibrium modelling framework and explore ways of relaxing the competition between mitigation in agriculture and food availability. Using a scenario that limits global warming cost-efficiently across sectors to 1.5 ᵒC, results indicate global food calorie losses ranging from 110 to 285 kcal per capita and day in 2050 depending on the applied demand elasticities. This could translate into a rise in undernourishment of 80 to 300 million people in 2050. Less ambitious GHG mitigation in the land use sector reduces the associated food security impact significantly, however the 1.5 ᵒC target would not be achieved without additional reductions outside the land use sector. Efficiency of greenhouse gas (GHG) mitigation will also depend on the level of participation globally. Our results show that if non-Annex I countries decide not to contribute to mitigation action while other parties pursue their mitigation efforts to reach the global climate target, food security impacts in these non-Annex I countries will be higher than if they participate in a global agreement, as inefficient mitigation increases agricultural production costs and therefore food prices. Land-rich countries with a high proportion of emissions from land use change, such as Brazil, could reduce emissions with only a marginal effect on food availability. In contrast, agricultural mitigation in high population (density) countries, such as China and India, would lead to substantial food calorie loss without a major contribution to global GHG mitigation. Increasing soil carbon sequestration on agricultural land would allow reducing the implied calorie loss by 65% when sticking to the initially estimated land use mitigation requirements, thereby limiting the impact on undernourishment to 20 - 75 million people, and storing significant amounts of carbon in soils.",Stefan Frank; Peter Havlík; Jean‐François Soussana,Environmental Research Letters,2017,10.1088/1748-9326/aa8c83,https://openalex.org/W2621220489,OpenAlex,22,strict,food availability; food security; undernourishment,food security,agricultural production; food availability,,climate_environment; value_chain_market_access,2,2,1,
Advancing postharvest storage management using sensors and smart technologies: A national and global perspective,"The transformation of crop yield storage management through sensor technologies is the most promising solution, addressing the critical issue of post-harvest losses that threaten global food security. The present review explains various sensor-based systems in monitoring and controlling environmental factors such as temperature, humidity and gas emissions to maintain crop quality and prevent spoilage. This review followed the PRISMA-ScR (Preferred Reporting Items for Systematic Reviews and Meta-Analysis for Scoping Reviews) guidelines to ensure transparency, rigor and reproducibility in literature identification, screening and synthesis. The review discusses sensor applications across various crop types that range wide from cereals and pulses to perishable fruits and high-value crops, emphasizing customized solutions targeting specific storage requirements. On a regional basis, disparities in technological advancement are evident, with high-tech automated systems being the predominantly concentrated in developed countries, whereas those that favor innovation with sensor solutions that are cheap and scalable, while developing countries are characterized by infrastructural constrains and a focus on affordable, scalable innovations. Pakistan's early initiatives in sensor-based storage management illustrate how much technologies can enhance agricultural resilience in similar developing context. The initial disposition of Pakistan toward sensor-centered storage management serves as an emblem of how such technology can promote agricultural resilience in settings of comparable nature. Economic analysis indicates a favorable cost-benefit ratio for sensors deployment, hinged upon a reduction in post-harvest losses, energy efficiency in storage, and socioeconomic upliftment of smallholder farmers. Nevertheless, challenges such as high initial investment, skill gaps, sensor durability, connectivity challenges, and policy hurdles remain acute. The future is one where AI powered smart storage systems, nanotechnology-based sensors, and synergized digital ecosystems will offer precision, automation, and sustainability. This requires joint efforts between governments, the private sector, and international agencies to increase the scale of innovations and build capacity. Overall, sensors technologies are revolutionizing sustainable, technology-enabled agricultural storages systems that preserve food security, promote efficient resource use and improve livelihood worldwide. © 2025",Ahmad A.; Jalal F.; Fahad S.; Tahir N.; Iqbal A.; Bakhtaj R.; Ahmad S.; Khan Z.H.; Islam B.; Hemat M.; Rahman T.U.; Saud S.; Nawaz T.,Environmental Challenges,2026,10.1016/j.envc.2025.101379,,Scopus,21,strict,food security,,crop yield; post-harvest losses,,climate_environment; governance_institutions; post_harvest_loss; production_yield_cereals; smallholder_agriculture,5,4,2,
"Analysis of the foreign direct investment, oil palm expansion, and food security in Indonesia: Sumatra and Kalimantan case studies","The continuing oil palm expansion on food security has prompted fierce debate. On one side, analysts argue that local community incorporation in the oil palm sector can increase food purchasing in the market. However, the expansion has also brought unprecedented consequences of losing highly nutritious food due to forest conversions. This study aims to analyze oil palm expansion and local food security in various regions in Indonesia by tackling the following questions: (a) Which factors influence palm oil expansion, and does foreign investment play a role? (b) How does palm oil expansion affect food security in Indonesia? Socioeconomic methods have been applied in this study, including a systematic literature review and qualitative interviews with key stakeholders from various domestic and international organizations. These two methods help us triangulate the academic literature findings with real-world situations as perceived by the actors in the related field. Results indicate that, firstly, foreign investors have not only made a direct investment to facilitate oil palm expansion, but also indirect financial intermediaries are held without holding financial equities to upstream oil palm companies (e.g., supply chain financing contracts, channeling using local financial institutions such as credit union). Secondly, while large corporations asserted monoculture oil palm expansions, some smallholding farmers use mixed cropland expansion to share food and oil palm crops in their own smallholding terms. With the oil palm expansion, farmers can secure a cash flow from palm oil, but an unintended outcome is less nutrition diversification, and often because of the distance to markets, some commodities are favored over a more diverse diet. The outcomes of oil palm development vary and are multifold, as some stakeholders report that some studies show improving cash flows at the farm level, but other studies insist that food insecurity still prevails.",Albert Hasudungan; Dewa Gede Sidan Raeskyesa; Ingrid Fromm,Discover Sustainability,2024,10.1007/s43621-024-00452-7,https://openalex.org/W4402924757,OpenAlex,21,strict,food insecurity; food security,food security,supply chain,,governance_institutions; smallholder_agriculture; value_chain_market_access,3,3,1,
"Climate Change, Flood Disaster Risk and Food Security Nexus in Northern Ghana","This research reviews climate change, flood disasters impacts and food security nexus in northern Ghana. The impacts of climate change include flood disasters which in turn affect food production with subsequent impact on food security. While climate change impact can be positive in some regions, it can be negative in other regions as it could lead to excess or lack of water, which negatively affects food production. Most especially, flood disasters have reportedly become frequent with devastating consequences on food production. Literature further suggests that the frequency of floods and their impacts have the potential to increase in the future. Floods inundate farms, pastures and livestock, which could subsequently reduce crop yields and animal production. Floods also destroys physical infrastructure and disrupts socio-economic activities which are linked to agriculture sector and could affect food production. This eventually decreases food availability, accessibility, utilization, and stability in the region. Northern Ghana has experienced flood disasters with increased frequency, which are related to climate change impacts. Although there is research on climate change, flood disasters, and food security issues in northern Ghana, the literature thus far indicates no clear focus of studies that focuses on the nexus of climate change, flood disasters, and food security of the study site. Thus, this research seeks to review the nexus of climate change, and flood disaster impacts on food security in northern Ghana with their implications on food security in the region. This study has two main research objectives. The first objective of this research is to identify and understand the potential impacts of climate change and flood disasters on food production in the study site. The second research objective is to explain the connection between climate change and flood disasters and the implications of this relationship on food security in the study site. This review study focuses on climate change, flood disasters, and food production to understand the critical impacts of climate change and flood disasters on food security in the northern part of Ghana. The aim of this research is to contribute to literature and discussion of the nexus of climate change, flood disaster impacts and food security sub-Saharan Africa.",Raphael Ane Atanga; Vitus Tankpa,Frontiers in Sustainable Food Systems,2021,10.3389/fsufs.2021.706721,https://openalex.org/W3191708892,OpenAlex,21,strict,food availability; food security,food security,food availability; food production,,climate_environment; production_yield_cereals,2,1,1,
Policy options for mitigating impacts of COVID-19 on domestic rice value chains and food security in West Africa,"Rice plays a strategic role in food security in West Africa. However, the region increasingly relies on rice imports due to a growing and structural deficit, and domestic value chains face constraints in technology, finance and coordination. As a result, West Africa is very vulnerable to international and local trade disruptions, such as the ones currently inflicted by the COVID-19 pandemic. We build on evidence of the current state of domestic rice value chain upgrading in West Africa to anticipate the impacts of the COVID-19 pandemic on rice value chains' resilience and their capacity to sustain food security in the region. Several policy options are proposed to help West African governments mitigate the impacts of the COVID-19 crisis on food security.",Aminou Arouna; Guillaume Soullier; Patricio Mendez Del Villar,Global Food Security,2020,10.1016/j.gfs.2020.100405,https://openalex.org/W3040562335,OpenAlex,21,strict,food security,food security,value chain,,climate_environment; governance_institutions; production_yield_cereals; value_chain_market_access,4,3,2,
Drought Tolerant Rice for Ensuring Food Security in Eastern India,"Drought and limited availability of water serve as the serious limitation for rice production in rainfed ecosystems. Among the major rainfed rice-cultivating areas, states of eastern India occupy one of the largest drought-prone ecologies in the world. Cultivating drought tolerant rice varieties can serve as the most coherent approach to ensure food security in these areas. International Rice Research Institute (IRRI), along with its national collaborators, has developed drought tolerant rice varieties possessing high yield along with desirable grain quality. One such conventionally bred line, IR74371-70-1-1, has been released with different names in the different countries: in India as Sahbhagi Dhan, in Nepal as Sukha Dhan 3, and in Bangladesh as BRRI Dhan 56. This indicates the suitability of this line to show better performance across the wide range of environments. Sahbhagi Dhan is a short duration variety that has genetic drought tolerance and is more efficient at extracting available moisture from the soil. During drought years, farmers cultivating Sahbhagi Dhan obtained the yield advantage of 0.8 to 1.6 t ha−1 over currently grown long duration as well as traditional varieties. In 2012, when the paddy crop was hit by drought, Sahbhagi Dhan revealed the yield advantage of more than a t ha−1, which reduced to 0.78 and 0.56 t ha−1 during non-drought years of 2013 and 2014, respectively. Data taken from head to head trials during 2017 showed that Sahbhagi Dhan exhibited better performance over the existing rice varieties grown by farmers even under non-drought conditions. The important feature of Sahbhagi Dhan is its evident impact under drought and no yield penalty under favorable conditions over the counterfactual varieties of the same duration. Along with better yield under drought, the important advantage of Sahbhagi Dhan is the short maturity duration of this variety. This allows the farmers to advance the succeeding crop and creates an opportunity for accommodating an additional crop under favorable rainfed ecology, thereby enhancing the cropping intensity. Since the majority of the farmers living in drought prone ecologies are socio-economically under privileged, Sahbhagi Dhan, along with other drought tolerant varieties, can serve as one of the most viable and deliverable technologies for eradicating poverty from these ecologies dependent on rainfed rice.",Manzoor H. Dar; Showkat A. Waza; Sarvesh Shukla,Sustainability,2020,10.3390/su12062214,https://openalex.org/W3011880231,OpenAlex,21,strict,food security,food security,rice production,,climate_environment; gender_poverty_inclusion; production_yield_cereals; smallholder_agriculture,4,2,1,
"Governance quality, remittances and their implications for food and nutrition security in Sub-Saharan Africa","Despite impressive progress in the fight against malnutrition and hunger in recent years, food and nutrition insecurity remains a major concern in Sub-Saharan Africa (SSA) countries. In this study, we employ a panel data covering 15 SSA countries from 1996 to 2015 to investigate the growth effects of remittances and quality of governance on food and nutrition security, proxied by the average value of food production and the average dietary energy supply adequacy, respectively. We use a dynamic empirical model based on system GMM to control for unobserved heterogeneity and potential endogeneity of the explanatory variables. The empirical results emanating from our analysis show that the interaction of remittances and the composite index of governance quality exerts positive and significant effects on the average value of food production, and also contributes to the improvement of average dietary energy supply adequacy in SSA. In addition, the control of corruption, government effectiveness, political stability and rule of law scores increase both measures of food and nutrition security. Albeit, the contribution of control over corruption score is relatively the largest as compared to other indicators of governance.",Adebayo Ogunniyi; George Mavrotas; Kehinde Oluseyi Olagunju,World Development,2019,10.1016/j.worlddev.2019.104752,https://openalex.org/W2990079917,OpenAlex,21,strict,dietary energy supply; hunger; malnutrition; nutrition security,nutrition security,dietary energy supply; food production,,empirical_methods; governance_institutions,2,1,0,
"Which practices co‐deliver food security, climate change mitigation and adaptation, and combat land degradation and desertification?","eq/year) without adverse impacts on the other land challenges. Five options have moderate mitigation potential, with no adverse impacts on the other land challenges. Sixteen practices have large adaptation potential (>25 million people benefit), without adverse side effects on other land challenges. Most practices can be applied without competing for available land. However, seven options could result in competition for land. A large number of practices do not require dedicated land, including several land management options, all value chain options, and all risk management options. Four options could greatly increase competition for land if applied at a large scale, though the impact is scale and context specific, highlighting the need for safeguards to ensure that expansion of land for mitigation does not impact natural systems and food security. A number of practices, such as increased food productivity, dietary change and reduced food loss and waste, can reduce demand for land conversion, thereby potentially freeing-up land and creating opportunities for enhanced implementation of other practices, making them important components of portfolios of practices to address the combined land challenges.",Pete Smith; Katherine Calvin; Johnson Nkem,Global Change Biology,2019,10.1111/gcb.14878,https://openalex.org/W2981648895,OpenAlex,21,strict,food security,food security,food loss; value chain,,climate_environment; post_harvest_loss; production_yield_cereals; value_chain_market_access,4,3,3,
Resilience in agri-food supply chains: a critical analysis of the literature and synthesis of a novel framework,"Purpose Resilience in agri-food supply chains (AFSCs) is an area of significant importance due to growing supply chain volatility. While the majority of research exploring supply chain resilience has originated from a supply chain management perspective, many other disciplines (such as environmental systems science and the social sciences) have also explored the topic. As complex social, economic and environmental constructs, the priority of resilience in AFSCs goes far beyond the company specific focus of supply chain management works and would conceivably benefit from including more diverse academic disciplines. However, this is hindered by inconsistencies in terminology and the conceptual components of resilience across different disciplines. The purpose of this study is to use a systematic literature review to identify which multidisciplinary aspects of resilience are applicable to AFSCs and to generate a novel AFSC resilience framework. Design/methodology/approach This paper uses a structured and multidisciplinary review of 137 articles in the resilience literature followed by critical analysis and synthesis of findings to generate new knowledge in the form of a novel AFSC resilience framework. Findings Findings indicate that the complexity of AFSCs and subsequent exposure to almost constant external interference means that disruptions cannot be seen as a one-off event; thus, resilience must concern the ability to not only maintain core function but also adapt to changing conditions. Practical implications A number of resilience elements can be used to enhance resilience, but their selection and implementation must be carefully matched to relevant phases of disruption and assessed on their broader supply chain impacts. In particular, the focus must be on overall impact on the ability of the supply chain as a whole to provide food security rather than to boost individual company performance. Originality/value The research novelty lies in the utilisation of wider understandings of resilience from various research fields to propose a rigorous and food-specific resilience framework with end consumer food security as its main focus.",Jamie A. Stone; Shahin Rahimifard,Supply Chain Management An International Journal,2018,10.1108/scm-06-2017-0201,https://openalex.org/W2771383923,OpenAlex,21,strict,food security; food supply,food supply,food supply; supply chain,food supply,climate_environment; value_chain_market_access,2,2,1,
